Day,Farm,Farm Temperature (°C),Humidity (%),Average Light Intensity (lux),Atmospheric Pressure (kPa),Rainfall (mm),pH,Soil Moisture (%),Soil Compaction (%),Soil Temperature (°C),Pest Count,Irrigation Duration (minutes)
1,farm_b,25.1,73,6262,101.0,0.7,6.5,45,18,21.4,4,18
2,farm_b,25.5,74,5884,101.0,1.0,6.5,44,22,21.4,8,18
3,farm_b,27.5,68,5899,100.8,1.6,6.7,49,22,21.4,4,20
4,farm_b,26.0,71,6402,101.4,0.9,6.4,42,21,20.1,8,16
5,farm_b,24.4,73,5361,101.0,1.1,6.7,42,20,20.6,7,20
6,farm_b,26.7,72,5828,101.2,1.2,6.3,41,21,21.0,4,17
7,farm_b,24.6,66,5147,101.4,1.4,6.7,42,18,20.6,9,16
8,farm_b,25.1,73,5139,100.9,0.1,6.4,49,22,20.8,7,15
9,farm_b,24.4,68,5223,101.2,1.4,6.4,47,19,21.3,8,16
10,farm_b,26.5,70,6222,101.1,0.9,6.6,50,22,20.8,5,17
11,farm_b,24.7,73,5968,101.5,0.9,6.6,50,23,20.1,9,19
12,farm_b,27.2,74,5887,101.1,0.9,6.5,49,19,20.5,9,18
13,farm_b,24.4,66,6333,101.4,0.3,6.7,46,18,20.8,4,20
14,farm_b,26.9,70,5485,101.0,1.0,6.4,44,22,21.4,8,19
15,farm_b,27.1,65,5925,100.9,1.9,6.4,50,20,20.6,4,19
16,farm_b,24.3,75,5451,101.4,0.7,6.8,40,18,21.2,7,16
17,farm_b,25.7,73,6237,100.9,2.0,6.7,49,23,20.9,9,19
18,farm_b,26.6,65,5782,100.8,0.2,6.7,44,20,20.2,4,18
19,farm_b,24.4,69,5149,101.2,1.7,6.4,45,20,20.3,8,15
20,farm_b,25.3,74,6492,101.2,1.1,6.6,47,22,20.8,4,15
21,farm_b,26.7,69,6486,100.9,0.5,6.7,47,21,20.9,5,15
22,farm_b,24.9,70,5516,101.2,1.2,6.4,40,23,20.7,4,18
23,farm_b,26.6,75,5153,101.2,1.3,6.7,49,21,21.0,7,17
24,farm_b,24.0,66,6001,101.3,1.6,6.6,42,18,20.3,5,15
25,farm_b,24.2,74,5003,101.4,0.6,6.6,50,22,20.6,7,15
26,farm_b,26.6,67,6430,101.2,2.0,6.5,50,20,21.0,6,17
27,farm_b,24.7,71,5254,100.8,0.3,6.7,50,18,20.9,6,16
28,farm_b,24.2,75,6086,101.3,1.6,6.7,41,19,21.5,7,18
29,farm_b,27.1,69,6038,100.9,0.2,6.6,44,18,21.3,7,19
30,farm_b,25.5,73,6352,100.8,0.8,6.8,49,23,20.9,4,18
31,farm_b,25.3,69,5867,101.1,0.4,6.5,48,19,20.7,9,15
32,farm_b,25.3,69,5167,101.3,0.1,6.4,44,18,21.4,9,15
33,farm_b,26.9,71,5305,101.4,1.8,6.3,49,20,21.4,4,17
34,farm_b,25.2,68,5105,101.4,1.8,6.4,48,19,20.6,5,15
35,farm_b,27.3,66,5179,100.9,1.2,6.5,49,18,20.7,4,16
36,farm_b,26.6,74,5671,100.8,0.4,6.6,47,23,20.9,4,15
37,farm_b,27.8,72,6215,100.9,1.3,6.4,47,22,21.5,7,17
38,farm_b,25.8,71,6164,101.3,0.2,6.6,40,19,20.2,8,19
39,farm_b,25.6,65,5657,101.3,1.0,6.7,45,20,20.4,9,15
40,farm_b,25.6,66,5516,101.2,1.5,6.6,47,22,21.1,5,17
41,farm_b,26.6,67,5909,101.5,0.2,6.3,48,19,21.0,5,17
42,farm_b,27.5,67,6447,100.9,2.0,6.5,41,20,21.4,4,17
43,farm_b,27.7,65,6363,101.5,1.0,6.7,50,18,20.7,4,20
44,farm_b,24.5,75,5537,101.2,1.4,6.4,40,21,21.3,7,20
45,farm_b,27.1,75,5724,100.9,0.5,6.8,43,19,21.1,7,16
46,farm_b,27.0,70,5122,101.4,0.7,6.6,41,18,21.1,9,17
47,farm_b,27.9,70,5211,101.2,1.6,6.4,49,22,20.4,7,18
48,farm_b,26.9,66,5174,100.9,1.5,6.4,45,20,20.5,4,15
49,farm_b,26.5,74,5850,101.1,0.7,6.7,42,22,20.9,8,19
50,farm_b,25.1,74,5815,101.3,1.4,6.5,42,19,20.0,5,19
51,farm_b,25.4,66,5742,101.4,1.9,6.6,50,20,21.5,7,18
52,farm_b,24.8,68,6285,101.3,0.1,6.4,46,19,20.5,8,20
53,farm_b,27.1,73,6185,101.4,1.0,6.7,50,18,20.1,9,18
54,farm_b,24.1,69,5033,101.0,0.8,6.6,40,18,20.5,4,15
55,farm_b,27.7,65,6116,100.9,1.4,6.6,48,19,21.3,4,17
56,farm_b,24.3,70,6339,101.1,0.4,6.7,40,18,20.1,4,17
57,farm_b,26.4,75,6467,101.2,1.8,6.3,46,21,21.3,5,19
58,farm_b,27.6,72,5793,101.3,1.9,6.3,49,20,20.2,6,16
